"id","summary_id","participant_key","participant_label","participant_kind","opponent_key","won","side","opponent_side","matchup","total_force_spent","total_force_regen","ending_force","ending_hp","ending_armor","low_force_windows","grip_cripple_events","saber_throw_punishes","knockdown_events","late_defense_spends","opening_tactic","primary_issue","spent_neutral","spent_advantage","spent_disadvantage","spent_panic","spent_finishing","force_push","force_pull","force_grip","force_drain","force_rage","force_absorb","force_protect","force_heal","force_speed","force_seeing","force_unknown"
"1","1","bot:/botfiles/desann.jkb","Desann","0","bot:/botfiles/tavion.jkb","1","2","2","3","460","381","21","100","100","5","0","0","0","0","pull","low_force","61","0","373","5","21","60","341","59","0","0","0","0","0","0","0","0"
"2","1","bot:/botfiles/tavion.jkb","Rodian","0","bot:/botfiles/desann.jkb","0","2","2","3","11","11","100","-38","0","0","1","7","0","0","grip","saber_throw","11","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0"
"3","2","bot:/botfiles/trandoshan.jkb","Trandoshan","0","iphash:4d1013d3","1","2","2","3","195","112","17","100","59","3","0","0","0","0","grip","low_force","5","0","87","43","60","20","87","88","0","0","0","0","0","0","0","0"
"4","2","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/trandoshan.jkb","0","2","2","3","0","0","100","-6","38","0","1","2","2","0","unknown","saber_throw","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","3","bot:/botfiles/tavion.jkb","Rodian","0","iphash:4d1013d3","1","2","2","3","272","193","21","97","0","5","0","0","1","0","pull","low_force","0","0","248","5","19","39","89","144","0","0","0","0","0","0","0","0"
"6","3","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/tavion.jkb","0","2","2","3","0","0","100","-26","68","0","1","4","1","0","unknown","saber_throw","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","4","bot:/botfiles/imperial.jkb","Saboteur","0","bot:/botfiles/desann.jkb","1","2","2","3","1313","1213","0","60","67","50","2","1","0","0","grip","low_force","417","91","146","343","316","33","488","89","548","0","0","0","0","155","0","0"
"8","4","bot:/botfiles/desann.jkb","Desann","0","bot:/botfiles/imperial.jkb","0","2","2","3","1719","1643","100","-17","0","67","0","2","7","0","grip","low_force","213","0","563","448","495","259","775","145","540","0","0","0","0","0","0","0"
"9","5","bot:/botfiles/reborn.jkb","New_Reborn","0","iphash:4d1013d3","1","2","2","3","312","248","36","100","97","8","0","0","0","0","drain","low_force","55","0","73","97","87","0","107","125","80","0","0","0","0","0","0","0"
"10","5","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/reborn.jkb","0","2","2","3","90","90","100","-12","99","4","2","1","0","0","seeing","low_force","22","0","52","16","0","0","0","0","0","0","0","0","0","0","90","0"
"11","6","bot:/botfiles/desann.jkb","Desann","0","bot:/botfiles/reborn.jkb","1","2","2","3","153","60","7","100","100","1","0","0","0","0","pull","low_force","54","0","0","50","49","0","36","67","0","0","0","0","0","50","0","0"
"12","6","bot:/botfiles/reborn.jkb","New_Reborn","0","bot:/botfiles/desann.jkb","0","2","2","3","68","68","100","0","96","0","1","0","1","0","drain","linear_entries","30","0","19","19","0","38","0","0","30","0","0","0","0","0","0","0"
"13","7","bot:/botfiles/imperial.jkb","Saboteur","0","bot:/botfiles/desann.jkb","1","2","2","3","944","936","92","100","69","21","1","1","1","0","pull","low_force","348","58","161","198","179","27","412","132","373","0","0","0","0","0","0","0"
"14","7","bot:/botfiles/desann.jkb","Desann","0","bot:/botfiles/imperial.jkb","0","2","2","3","843","843","100","-5","30","29","1","1","4","0","pull","low_force","182","0","387","215","59","92","278","42","431","0","0","0","0","0","0","0"
"15","8","bot:/botfiles/desann.jkb","Desann","0","iphash:4d1013d3","1","2","2","3","270","202","32","100","99","1","0","0","0","0","push","low_force","27","0","190","20","33","68","129","73","0","0","0","0","0","0","0","0"
"16","8","iphash:4d1013d3","^0-=^3'/^7o^3!^0d^0=-^6","2","bot:/botfiles/desann.jkb","0","2","2","3","0","0","100","0","70","0","0","1","1","0","unknown","linear_entries","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","9","bot:/botfiles/reborn.jkb","New_Reborn","0","bot:/botfiles/imperial.jkb","1","2","2","3","1376","1314","38","100","67","67","1","2","1","0","drain","low_force","349","89","259","541","138","31","651","112","582","0","0","0","0","0","0","0"
